Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Phaseolus coccineus,Runner bean,cv. “Bianco di Spagna”,0.71,0.27,0.44,0.97,2
Phaseolus coccineus,Runner bean,cv. “Kelvedon Marvel”,0.95,0.03,0.90,1.00,3
Phaseolus coccineus,Runner bean,cv. “Streamline”,0.61,NA,0.61,0.61,1
Phaseolus vulgaris,Bean,cv. “Kariasii”,0.19,NA,0.19,0.19,1
Phaseolus vulgaris,Bean,cv. “Lyamungo 90”,0.00,NA,0.00,0.00,1
Phaseolus vulgaris,Bean,cv. “Processor”,0.37,NA,0.37,0.37,1
Prunus armeniaca,Apricot,cv. “Sundrop”,0.95,0.04,0.87,1.00,3
Prunus avium,Sweet cherry,cv. “Royal Ann”,0.49,NA,0.49,0.49,1
Prunus cerasus,Sour cherry,cv. “Csengodi”,0.87,0.01,0.86,0.87,2
Prunus cerasus,Sour cherry,cv. “Eva”,0.83,0.02,0.81,0.84,2
Prunus cerasus,Sour cherry,cv. “Pandy 279”,0.97,NA,0.97,0.97,1
Prunus cerasus,Sour cherry,cv. “Petri”,0.55,0.19,0.36,0.73,2
Prunus cerasus,Sour cherry,cv. “Ujfehertoi furtos”,0.67,0.03,0.64,0.70,2
Prunus domestica,Plum,cv. “Purple Damas”,0.66,1.00,0.66,0.66,1
Prunus domestica,Plum,cv. ‘Yellow Damas”,0.58,1.00,0.58,0.58,1
Prunus dulcis,Almond,cv. “Guara”,0.85,NA,0.85,0.85,1
Prunus dulcis,Almond,cv. “Nonpareil”,0.95,NA,0.95,0.95,1
Prunus dulcis,Almond,selection “A-10-2”,0.91,0.05,0.86,0.95,2
Prunus dulcis,Almond,selection “A-10-6”,0.99,0.00,0.99,0.99,2
Prunus dulcis,Almond,selection “B-4-2”,0.75,0.03,0.72,0.78,2
Prunus dulcis,Almond,selection “B-5-2”,1.00,0.01,0.99,1.00,2
Prunus dulcis,Almond,selection “B-5-9”,0.98,0.01,0.97,0.98,2
Prunus dulcis,Almond,selection “C-11-1”,1.00,0.01,0.99,1.00,2
Prunus dulcis,Almond,selection “D-3-5”,0.59,0.01,0.58,0.59,2
Prunus dulcis,Almond,selection “D-4-15”,0.99,0.02,0.97,1.00,2
Prunus dulcis,Almond,selection “E-5-7”,0.54,0.16,0.38,0.69,2
Prunus dulcis,Almond,selection “G-5-2”,0.70,0.02,0.66,0.72,3
Prunus dulcis,Almond,selection “A-10-8”,0.80,0.02,0.78,0.81,2
Prunus persica,Peach, nectarine,cv. “Aurora 1”,0.11,NA,0.11,0.11,1
Prunus persica,Peach, nectarine,var. Baby Gold 5,0.48,NA,0.48,0.48,1
Prunus persica,Peach, nectarine,var. Baby Gold 6,0.53,NA,0.53,0.53,1
Prunus persica,Peach, nectarine,var. Baby Gold 7,0.34,NA,0.34,0.34,1
Prunus persica,Peach, nectarine,var. Blazing Gold,0.08,NA,0.08,0.08,1
Prunus persica,Peach, nectarine,var. Champion,0.21,NA,0.21,0.21,1
Prunus persica,Peach, nectarine,var. Dixired,0.47,NA,0.47,0.47,1
Prunus persica,Peach, nectarine,var. Early Redhaven,0.09,NA,0.09,0.09,1
Prunus persica,Peach, nectarine,var. Elberta,0.14,NA,0.14,0.14,1
Prunus persica,Peach, nectarine,var. Flavortop,0.53,NA,0.53,0.53,1
